medv,crim,nox,rm,age,dis
22.7,2.24236,0.605,5.854,91.8,2.422
25,2.924,0.605,6.101,93,2.2834
50,2.01019,0.605,7.929,96.2,2.0459
23.8,1.80028,0.605,5.877,79.2,2.4259
23.8,2.3004,0.605,6.319,96.1,2.1
22.3,2.44953,0.605,6.402,95.2,2.2625
17.4,1.20742,0.605,5.875,94.6,2.4259
19.1,2.3139,0.605,5.88,97.3,2.3887
23.1,0.13914,0.51,5.572,88.5,2.5961
23.6,0.09178,0.51,6.416,84.1,2.6463
22.6,0.08447,0.51,5.859,68.7,2.7019
29.4,0.06664,0.51,6.546,33.1,3.1323
23.2,0.07022,0.51,6.02,47.2,3.5549
24.6,0.05425,0.51,6.315,73.4,3.3175
29.9,0.06642,0.51,6.86,74.4,2.9153
37.2,0.0578,0.488,6.98,58.4,2.829
39.8,0.06588,0.488,7.765,83.3,2.741
36.2,0.06888,0.488,6.144,62.2,2.5979
37.9,0.09103,0.488,7.155,92.2,2.7006
32.5,0.10008,0.488,6.563,95.6,2.847
26.4,0.08308,0.488,5.604,89.8,2.9879
29.6,0.06047,0.488,6.153,68.8,3.2797
50,0.05602,0.488,7.831,53.6,3.1992
32,0.07875,0.437,6.782,41.1,3.7886
29.8,0.12579,0.437,6.556,29.1,4.5667
34.9,0.0837,0.437,7.185,38.9,4.5667
37,0.09068,0.437,6.951,21.5,6.4798
30.5,0.06911,0.437,6.739,30.8,6.4798
36.4,0.08664,0.437,7.178,26.3,6.4798
31.1,0.02187,0.401,6.8,9.9,6.2196
29.1,0.01439,0.401,6.604,18.8,6.2196
50,0.01381,0.422,7.875,32,5.6484
33.3,0.04011,0.404,7.287,34.1,7.309
30.3,0.04666,0.404,7.107,36.6,7.309
34.6,0.03768,0.404,7.274,38.3,7.309
34.9,0.0315,0.403,6.975,15.3,7.6534
32.9,0.01778,0.403,7.135,13.9,7.6534
24.1,0.03445,0.415,6.162,38.4,6.27
42.3,0.02177,0.415,7.61,15.7,6.27
48.5,0.0351,0.4161,7.853,33.2,5.118
50,0.02009,0.4161,8.034,31.9,5.118
22.6,0.13642,0.489,5.891,22.3,3.9454
24.4,0.22969,0.489,6.326,52.5,4.3549
22.5,0.25199,0.489,5.783,72.7,4.3549
24.4,0.13587,0.489,6.064,59.1,4.2392
20,0.43571,0.489,5.344,100,3.875
21.7,0.17446,0.489,5.96,92.1,3.8771
19.3,0.37578,0.489,5.404,88.6,3.665
22.4,0.21719,0.489,5.807,53.8,3.6526
28.1,0.14052,0.489,6.375,32.3,3.9454
23.7,0.28955,0.489,5.412,9.8,3.5875
25,0.19802,0.489,6.182,42.4,3.9454
23.3,0.0456,0.55,5.888,56,3.1121
28.7,0.07013,0.55,6.642,85.1,3.4211
21.5,0.11069,0.55,5.951,93.8,2.8893
23,0.11425,0.55,6.373,92.4,3.3633
26.7,0.35809,0.507,6.951,88.5,2.8617
21.7,0.40771,0.507,6.164,91.3,3.048
27.5,0.62356,0.507,6.879,77.7,3.2721
30.1,0.6147,0.507,6.618,80.8,3.2721
44.8,0.31533,0.504,8.266,78.3,2.8944
50,0.52693,0.504,8.725,83,2.8944
37.6,0.38214,0.504,8.04,86.5,3.2157
31.6,0.41238,0.504,7.163,79.9,3.2157
46.7,0.29819,0.504,7.686,17,3.3751
31.5,0.44178,0.504,6.552,21.4,3.3751
24.3,0.537,0.504,5.981,68.1,3.6715
31.7,0.46296,0.504,7.412,76.9,3.6715
41.7,0.57529,0.507,8.337,73.3,3.8384
48.3,0.33147,0.507,8.247,70.4,3.6519
29,0.44791,0.507,6.726,66.5,3.6519
24,0.33045,0.507,6.086,61.5,3.6519
25.1,0.52058,0.507,6.631,76.5,4.148
31.5,0.51183,0.507,7.358,71.6,4.148
23.7,0.08244,0.428,6.481,18.5,6.1899
23.3,0.09252,0.428,6.606,42.2,6.1899
22,0.11329,0.428,6.897,54.3,6.3361
20.1,0.10612,0.428,6.095,65.1,6.3361
22.2,0.1029,0.428,6.358,52.9,7.0355
23.7,0.12757,0.428,6.393,7.8,7.0355
17.6,0.20608,0.431,5.593,76.5,7.9549
18.5,0.19133,0.431,5.605,70.2,7.9549
24.3,0.33983,0.431,6.108,34.9,8.0555
20.5,0.19657,0.431,6.226,79.2,8.0555
24.5,0.16439,0.431,6.433,49.1,7.8265
26.2,0.19073,0.431,6.718,17.5,7.8265
24.4,0.1403,0.431,6.487,13,7.3967
24.8,0.21409,0.431,6.438,8.9,7.3967
29.6,0.08221,0.431,6.957,6.8,8.9067
42.8,0.36894,0.431,8.259,8.4,8.9067
21.9,0.04819,0.392,6.108,32,9.2203
20.9,0.03548,0.392,5.876,19.1,9.2203
44,0.01538,0.394,7.454,34.2,6.3361
50,0.61154,0.647,8.704,86.9,1.801
36,0.66351,0.647,7.333,100,1.8946
30.1,0.65665,0.647,6.842,100,2.0107
33.8,0.54011,0.647,7.203,81.8,2.1121
43.1,0.53412,0.647,7.52,89.4,2.1398
48.8,0.52014,0.647,8.398,91.5,2.2885
31,0.82526,0.647,7.327,94.5,2.0788
36.5,0.55007,0.647,7.206,91.6,1.9301
22.8,0.76162,0.647,5.56,62.8,1.9865
30.7,0.7857,0.647,7.014,84.6,2.1329
50,0.57834,0.575,8.297,67,2.4216
43.5,0.5405,0.575,7.47,52.6,2.872
20.7,0.09065,0.464,5.92,61.5,3.9175
21.1,0.29916,0.464,5.856,42.1,4.429
25.2,0.16211,0.464,6.24,16.3,4.429
24.4,0.1146,0.464,6.538,58.7,3.9175
35.2,0.22188,0.464,7.691,51.8,4.3665
32.4,0.05644,0.447,6.758,32.9,4.0776
32,0.09604,0.447,6.854,42.8,4.2673
33.2,0.10469,0.447,7.267,49,4.7872
33.1,0.06127,0.447,6.826,27.6,4.8628
29.1,0.07978,0.447,6.482,32.1,4.1403
35.1,0.21038,0.4429,6.812,32.2,4.1007
45.4,0.03578,0.4429,7.82,64.5,4.6947
35.4,0.03705,0.4429,6.968,37.2,5.2447
46,0.06129,0.4429,7.645,49.7,5.2119
50,0.01501,0.401,7.923,24.8,5.885
32.2,0.00906,0.4,7.088,20.8,7.3073
22,0.01096,0.389,6.453,31.9,7.3073
20.1,0.01965,0.385,6.23,31.5,9.0892
23.2,0.03871,0.405,6.209,31.3,7.3172
22.3,0.0459,0.405,6.315,45.6,7.3172
24.8,0.04297,0.405,6.565,22.9,7.3172
28.5,0.03502,0.411,6.861,27.9,5.1167
37.3,0.07886,0.411,7.148,27.7,5.1167
27.9,0.03615,0.411,6.63,23.4,5.1167
23.9,0.08265,0.437,6.127,18.4,5.5027
21.7,0.08199,0.437,6.009,42.3,5.5027
28.6,0.12932,0.437,6.678,31.1,5.9604
27.1,0.05372,0.437,6.549,51,5.9604
20.3,0.14103,0.437,5.79,58,6.32
22.5,0.06466,0.4,6.345,20.1,7.8278
29,0.05561,0.4,7.041,10,7.8278
24.8,0.04417,0.4,6.871,47.4,7.8278
22,0.03537,0.433,6.59,40.4,5.4917
26.4,0.09266,0.433,6.495,18.4,5.4917
33.1,0.1,0.433,6.982,17.7,5.4917
36.1,0.05515,0.472,7.236,41.1,4.022
28.4,0.05479,0.472,6.616,58.1,3.37
33.4,0.07503,0.472,7.42,71.9,3.0992
28.2,0.04932,0.472,6.849,70.3,3.1827
22.8,0.49298,0.544,6.635,82.5,3.3175
20.3,0.3494,0.544,5.972,76.7,3.1025
16.1,2.63548,0.544,4.973,37.8,2.5194
22.1,0.79041,0.544,6.122,52.8,2.6403
19.4,0.26169,0.544,6.023,90.4,2.834
21.6,0.26938,0.544,6.266,82.8,3.2628
23.8,0.3692,0.544,6.567,87.3,3.6023
16.2,0.25356,0.544,5.705,77.7,3.945
17.8,0.31827,0.544,5.914,83.2,3.9986
19.8,0.24522,0.544,5.782,71.7,4.0317
23.1,0.40202,0.544,6.382,67.2,3.5325
21,0.47547,0.544,6.113,58.8,4.0019
23.8,0.1676,0.493,6.426,52.3,4.5404
23.1,0.18159,0.493,6.376,54.3,4.5404
20.4,0.35114,0.493,6.041,49.9,4.7211
18.5,0.28392,0.493,5.708,74.3,4.7211
25,0.34109,0.493,6.415,40.1,4.7211
24.6,0.19186,0.493,6.431,14.7,5.4159
23,0.30347,0.493,6.312,28.9,5.4159
22.2,0.24103,0.493,6.083,43.7,5.4159
19.3,0.06617,0.46,5.868,25.8,5.2146
22.6,0.06724,0.46,6.333,17.2,5.2146
19.8,0.04544,0.46,6.144,32.2,5.8736
17.1,0.05023,0.4379,5.706,28.4,6.6407
19.4,0.03466,0.4379,6.031,23.3,6.6407
22.2,0.05083,0.515,6.316,38.1,6.4584
20.7,0.03738,0.515,6.31,38.5,6.4584
21.1,0.03961,0.515,6.037,34.5,5.9853
19.5,0.03427,0.515,5.869,46.3,5.2311
18.5,0.03041,0.515,5.895,59.6,5.615
20.6,0.03306,0.515,6.059,37.3,4.8122
19,0.05497,0.515,5.985,45.4,4.8122
18.7,0.06151,0.515,5.968,58.5,4.8122
32.7,0.01301,0.442,7.241,49.3,7.0379
16.5,0.02498,0.518,6.54,59.7,6.2669
23.9,0.02543,0.484,6.696,56.4,5.7321
31.2,0.03049,0.484,6.874,28.1,6.4654
17.5,0.03113,0.442,6.014,48.5,8.0136
17.2,0.06162,0.442,5.898,52.3,8.0136
23.1,0.0187,0.429,6.516,27.7,8.5353
24.5,0.01501,0.435,6.635,29.7,8.344
26.6,0.02899,0.429,6.939,34.5,8.7921
22.9,0.06211,0.429,6.49,44.4,8.7921
24.1,0.0795,0.411,6.579,35.9,10.7103
18.6,0.07244,0.411,5.884,18.5,10.7103
30.1,0.01709,0.41,6.728,36.1,12.1265
18.2,0.04301,0.413,5.663,21.9,10.5857
20.6,0.10659,0.413,5.936,19.5,10.5857
17.8,8.98296,0.77,6.212,97.4,2.1222
21.7,3.8497,0.77,6.395,91,2.5052
22.7,5.20177,0.77,6.127,83.4,2.7227
22.6,4.26131,0.77,6.112,81.3,2.5091
25,4.54192,0.77,6.398,88,2.5182
19.9,3.83684,0.77,6.251,91.1,2.2955
20.8,3.67822,0.77,5.362,96.2,2.1036
16.8,4.22239,0.77,5.803,89,1.9047
21.9,3.47428,0.718,8.78,82.9,1.9047
27.5,4.55587,0.718,3.561,87.9,1.6132
21.9,3.69695,0.718,4.963,91.4,1.7523
23.1,13.5222,0.631,3.863,100,1.5106
50,4.89822,0.631,4.97,100,1.3325
50,5.66998,0.631,6.683,96.8,1.3567
50,6.53876,0.631,7.016,97.5,1.2024
50,9.2323,0.631,6.216,100,1.1691
50,8.26725,0.668,5.875,89.6,1.1296
13.8,11.1081,0.668,4.906,100,1.1742
13.8,18.4982,0.668,4.138,100,1.137
15,19.6091,0.671,7.313,97.9,1.3163
13.9,15.288,0.671,6.649,93.3,1.3449
13.3,9.82349,0.671,6.794,98.8,1.358
13.1,23.6482,0.671,6.38,96.2,1.3861
10.2,17.8667,0.671,6.223,100,1.3861
10.4,88.9762,0.671,6.968,91.9,1.4165
10.9,15.8744,0.671,6.545,99.1,1.5192
11.3,9.18702,0.7,5.536,100,1.5804
12.3,7.99248,0.7,5.52,100,1.5331
8.8,20.0849,0.7,4.368,91.2,1.4395
7.2,16.8118,0.7,5.277,98.1,1.4261
10.5,24.3938,0.7,4.652,100,1.4672
7.4,22.5971,0.7,5,89.5,1.5184
10.2,14.3337,0.7,4.88,100,1.5895
11.5,8.15174,0.7,5.39,98.9,1.7281
15.1,6.96215,0.7,5.713,97,1.9265
23.2,5.29305,0.7,6.051,82.5,2.1678
9.7,11.5779,0.7,5.036,97,1.77
13.8,8.64476,0.693,6.193,92.6,1.7912
12.7,13.3598,0.693,5.887,94.7,1.7821
13.1,8.71675,0.693,6.471,98.8,1.7257
12.5,5.87205,0.693,6.405,96,1.6768
8.5,7.67202,0.693,5.747,98.9,1.6334
5,38.3518,0.693,5.453,100,1.4896
6.3,9.91655,0.693,5.852,77.8,1.5004
5.6,25.0461,0.693,5.987,100,1.5888
7.2,14.2362,0.693,6.343,100,1.5741
12.1,9.59571,0.693,6.404,100,1.639
8.3,24.8017,0.693,5.349,96,1.7028
8.5,41.5292,0.693,5.531,85.4,1.6074
5,67.9208,0.693,5.683,100,1.4254
11.9,20.7162,0.659,4.138,100,1.1781
27.9,11.9511,0.659,5.608,100,1.2852
17.2,7.40389,0.597,5.617,97.9,1.4547
27.5,14.4383,0.597,6.852,100,1.4655
15,51.1358,0.597,5.757,100,1.413
17.2,14.0507,0.597,6.657,100,1.5275
17.9,18.811,0.597,4.628,100,1.5539
16.3,28.6558,0.597,5.155,100,1.5894
7,45.7461,0.693,4.519,100,1.6582
7.2,18.0846,0.679,6.434,100,1.8347
7.5,10.8342,0.679,6.782,90.8,1.8195
10.4,25.9406,0.679,5.304,89.1,1.6475
8.8,73.5341,0.679,5.957,100,1.8026
8.4,11.8123,0.718,6.824,76.5,1.794
16.7,11.0874,0.718,6.411,100,1.8589
14.2,7.02259,0.718,6.006,95.3,1.8746
20.8,12.0482,0.614,5.648,87.6,1.9512
13.4,7.05042,0.614,6.103,85.1,2.0218
11.7,8.79212,0.584,5.565,70.6,2.0635
8.3,15.8603,0.679,5.896,95.4,1.9096
10.2,12.2472,0.584,5.837,59.7,1.9976
10.9,37.6619,0.679,6.202,78.7,1.8629
11,7.36711,0.679,6.193,78.1,1.9356
9.5,9.33889,0.679,6.38,95.6,1.9682
14.5,8.49213,0.584,6.348,86.1,2.0527
14.1,10.0623,0.584,6.833,94.3,2.0882
16.1,6.44405,0.584,6.425,74.8,2.2004
14.3,5.58107,0.713,6.436,87.9,2.3158
11.7,13.9134,0.713,6.208,95,2.2222
13.4,11.1604,0.74,6.629,94.6,2.1247
9.6,14.4208,0.74,6.461,93.3,2.0026
8.7,15.1772,0.74,6.152,100,1.9142
8.4,13.6781,0.74,5.935,87.9,1.8206
12.8,9.39063,0.74,5.627,93.9,1.8172
10.5,22.0511,0.74,5.818,92.4,1.8662
17.1,9.72418,0.74,6.406,97.2,2.0651
18.4,5.66637,0.74,6.219,100,2.0048
15.4,9.96654,0.74,6.485,100,1.9784
10.8,12.8023,0.74,5.854,96.6,1.8956
11.8,10.6718,0.74,6.459,94.8,1.9879
14.9,6.28807,0.74,6.341,96.4,2.072
12.6,9.92485,0.74,6.251,96.6,2.198
14.1,9.32909,0.713,6.185,98.7,2.2616
13,7.52601,0.713,6.417,98.3,2.185
13.4,6.71772,0.713,6.749,92.6,2.3236
15.2,5.44114,0.713,6.655,98.2,2.3552
16.1,5.09017,0.713,6.297,91.8,2.3682
17.8,8.24809,0.713,7.393,99.3,2.4527
14.9,9.51363,0.713,6.728,94.1,2.4961
14.1,4.75237,0.713,6.525,86.5,2.4358
12.7,4.66883,0.713,5.976,87.9,2.5806
13.5,8.20058,0.713,5.936,80.3,2.7792
14.9,7.75223,0.713,6.301,83.7,2.7831
20,6.80117,0.713,6.081,84.4,2.7175
16.4,4.81213,0.713,6.701,90,2.5975
17.7,3.69311,0.713,6.376,88.4,2.5671
19.5,6.65492,0.713,6.317,83,2.7344
20.2,5.82115,0.713,6.513,89.9,2.8016
21.4,7.83932,0.655,6.209,65.4,2.9634
19.9,3.1636,0.655,5.759,48.2,3.0665
19,3.77498,0.655,5.952,84.7,2.8715
19.1,4.42228,0.584,6.003,94.5,2.5403
19.1,15.5757,0.58,5.926,71,2.9084
20.1,13.0751,0.58,5.713,56.7,2.8237
19.9,4.34879,0.58,6.167,84,3.0334
19.6,4.03841,0.532,6.229,90.7,3.0993
23.2,3.56868,0.58,6.437,75,2.8965
29.8,4.64689,0.614,6.98,67.6,2.5329
13.8,8.05579,0.584,5.427,95.4,2.4298
13.3,6.39312,0.584,6.162,97.4,2.206
16.7,4.87141,0.614,6.484,93.6,2.3053
12,15.0234,0.614,5.304,97.3,2.1007
14.6,10.233,0.614,6.185,96.7,2.1705
21.4,14.3337,0.614,6.229,88,1.9512
23,5.82401,0.532,6.242,64.7,3.4242
23.7,5.70818,0.532,6.75,74.9,3.3317
25,5.73116,0.532,7.061,77,3.4106
21.8,2.81838,0.532,5.762,40.3,4.0983
20.6,2.37857,0.583,5.871,41.9,3.724
21.2,3.67367,0.583,6.312,51.9,3.9917
19.1,5.69175,0.583,6.114,79.8,3.5459
20.6,4.83567,0.583,5.905,53.2,3.1523
15.2,0.15086,0.609,5.454,92.7,1.8209
7,0.18337,0.609,5.414,98.3,1.7554
8.1,0.20746,0.609,5.093,98,1.8226
13.6,0.10574,0.609,5.983,98.8,1.8681
20.1,0.11132,0.609,5.983,83.5,2.1099
21.8,0.17331,0.585,5.707,54,2.3817
24.5,0.27957,0.585,5.926,42.6,2.3817
23.1,0.17899,0.585,5.67,28.8,2.7986
19.7,0.2896,0.585,5.39,72.9,2.7986
18.3,0.26838,0.585,5.794,70.6,2.8927
21.2,0.23912,0.585,6.019,65.3,2.4091
17.5,0.17783,0.585,5.569,73.5,2.3999
16.8,0.22438,0.585,6.027,79.7,2.4982
22.4,0.06263,0.573,6.593,69.1,2.4786
20.6,0.04527,0.573,6.12,76.7,2.2875
23.9,0.06076,0.573,6.976,91,2.1675
22,0.10959,0.573,6.794,89.3,2.3889
11.9,0.04741,0.573,6.03,80.8,2.505
