score,size,income
640.1500244,21.07925628,14.22672749
640.5,18.791208,10.47200012
640.75,19.62661813,14.24290085
640.9000244,19.59016424,14.06599998
641.1000061,20.8718719,15.96800041
641.4499817,21.11500074,10.26399994
641.4499817,20.08452088,10.6024704
641.5499878,19.91048901,10.52299976
641.8000183,17.8128519,11.23799992
642.1999817,18.13333333,10.05599976
642.2000122,19.22221096,11.18299961
642.3999939,18.6607146,7.385000229
642.75,19.6,13.57900047
643.0499878,19.28384279,9.630000114
643.1999817,22.81818182,15.27400017
643.25,18.80921932,14.03425026
643.4000244,21.37363321,10.23966694
643.3999939,20.02040816,9.484999657
643.5,21.49861496,15.0298748
643.5,15.42857143,9.781000137
643.6999817,22.4,13.19200039
643.7000122,20.12708696,12.2159996
644.1999817,19.03797468,14.07600021
644.2000122,17.34215794,25.4873333
644.3999939,17.01863314,14.86699963
644.4500122,20.8,9.972000122
644.4500122,21.15384615,14.57800007
644.5,18.45833333,7.385000229
644.5499878,19.14082073,12.34300041
644.6999817,19.40765769,12.43133259
644.9500122,19.56896487,14.90600014
645.1000061,21.50120002,12.66989994
645.25,17.52941176,10.33300018
645.5499878,16.43017135,11.97200012
645.5500183,19.79654022,12.82699966
645.6000061,17.18613366,10.03999996
645.75,17.61589359,13.33500004
645.75,20.12537152,9.854000092
646,22.16666667,11.42599964
646.2000122,19.96153846,15.13099957
646.3500061,19.03945136,14.57800007
646.3999939,15.22435953,10.26799965
646.5,21.1447499,15.59285736
646.5499878,19.64389982,11.23799992
646.7000122,21.04868914,15.05137539
646.8999939,20.1754386,15.41317654
646.9499817,21.39130435,11.08100033
647.0499878,20.0083249,10.09799957
647.25,20.29137193,14.29829979
647.2999878,17.66666667,11.80300045
647.6000061,18.22055068,9.972000122
647.5999756,20.27100187,15.4090004
648,20.1989464,15.2937994
648.2000122,21.38424453,15.53292847
648.25,20.97368421,16.29299927
648.3499756,20,12.875
648.7000122,17.15328491,16.62299919
648.9499817,22.34977058,12.54988289
649.1499939,22.17007104,14.25857162
649.3000183,18.18181818,18.32600021
649.5,18.95714286,12.74914265
649.6999817,19.74533056,11.42599964
649.8499756,16.42622951,8.829999924
650.4499817,16.62539768,11.17599964
650.5499878,16.38176709,14.22799969
650.6000061,20.07415824,15.02700043
650.6499939,17.99544409,10.52099991
650.8999939,19.39130435,18.62599945
650.8999939,16.42857171,22.52899933
651.1499939,16.72948696,18.29838943
651.2000122,24.41345219,11.88574982
651.3500061,18.26415094,9.925999641
651.3999939,18.95504182,14.19699955
651.4500122,21.03896156,9.630000114
651.8000183,20.74074074,10.63899994
651.8500061,18.1,14.47500038
651.8999939,19.84615385,13.46700001
652,21.6,9.664999962
652.1000061,22.4424209,12.70800018
652.0999756,23.01437649,17.82299995
652.2999878,17.74891767,17.15600014
652.3000183,18.28664078,19.58963585
652.3500061,19.26544191,14.19699955
652.3999939,22.66666667,11.9119997
652.3999939,19.29411765,13.38599968
652.5,17.36363636,11.5539999
652.8500061,19.82142906,19.02599907
653.0999756,20.43377971,16.40699959
653.3999939,21.0372093,14.05799961
653.5,19.9246235,19.06800079
653.5499878,19.00985685,20.77000046
653.5500183,23.82222222,10.26399994
653.6999817,19.36908471,14.57800007
653.7999878,19.82857143,10.20199966
653.8500061,15.25885527,12.50199986
653.9499817,17.16129032,13.90600014
654.1000061,21.81333333,9.986000061
654.1999817,19.07471334,13.71199989
654.1999817,25.78512315,10.09799957
654.2999878,18.21261444,11.29100037
654.6000061,18.16606416,13.22500038
654.8500061,16.97297297,13.63000011
654.8500061,21.50087289,14.62300014
654.8999939,20.6,8.776000023
655.0499878,16.99029095,10.3380003
655.0500183,20.77954562,16.32299995
655.0500183,15.51246603,10.65633297
655.1999817,19.88505747,14.57800007
655.3000183,21.39882347,18.63059998
655.3500061,20.49751205,11.11600018
655.3499756,19.36375819,14.59766674
655.3999939,17.65957518,15.49300003
655.5499878,21.01795614,16.27199936
655.6999817,19.05564949,13.63000011
655.7999878,22.53846154,12.39400005
655.8500061,21.10787118,15.33100033
656.3999939,20.0513538,12.66600037
656.5,14.20176292,13.71199989
656.5500183,18.47686833,17.78033447
656.6500244,18.63541667,10.55666733
656.7000122,20.94594595,10.52299976
656.8000183,21.08548256,13.24300003
656.8000183,18.69288022,22.47299957
657,20.86807905,15.68465424
657,19.8255777,23.48374939
657.1499939,19.75,11.64900017
657.4000244,19.5,16.3560009
657.5,18.390805,14.07400036
657.5500183,18.78676418,13.43700027
657.6499939,19.77018049,18.33799934
657.75,19.33333333,11.42599964
657.7999878,21.46391753,15.74991703
657.8999939,23.08492356,15.77900028
658,21.06299244,14.06200027
658.3500061,18.68686941,12.17399979
658.6000061,20.7702354,12.89999962
658.7999878,19.30555607,10.97099972
659.0500183,20.13280256,17.43519974
659.1499939,20.66963495,14.76000023
659.3500061,22.2815534,14.60299969
659.3999939,20.60027199,13.52233315
659.3999939,20.8273387,16.66900063
659.7999878,19.22492424,13.52225018
659.9000244,17.65477018,12.51799965
660.0500183,17,18.32600021
660.0999756,16.49772772,11.4659996
660.1999817,19.78260842,10.09799957
660.2999878,22.3021585,15.36499977
660.75,17.73076923,10.3113327
660.9499817,20.44836125,16.98662567
661.3499756,20.3716944,9.612000465
661.4500122,20.16478698,21.11050034
661.5999756,21.61537796,16.47331238
661.6000061,20.56142886,18.36899948
661.8499756,19.95551098,16.65411186
661.8500061,21.1838709,18.54422188
661.8500061,18.81042382,14.18000031
661.8999939,20.57838342,18.02955437
661.8999939,18.32460727,13.58600044
661.9500122,18.82062658,12.64000034
662.3999939,20.81632653,11.10299969
662.4000244,20,7.5
662.4500122,19.68181818,15.50599957
662.5,19.39017739,22.84140015
662.5500183,20.92731883,19.82312584
662.5500183,19.94436675,16.34700012
662.6499939,20.79109362,16.29299927
662.7000122,19.2035395,13.24800014
662.75,19.02439052,14.01000023
662.8999939,17.6205782,14.16300011
663.3500061,20.23715345,15.77099991
663.4499817,19.2937402,14.48333263
663.5,18.82998146,14.20899963
663.8500061,20.33949236,15.16699982
663.8500061,19.2289969,12.58425045
663.8999939,17.89130435,10.55099964
664,19.51880963,16.95599937
664,19.0845073,17.70899963
664.1499939,19.93548387,16.27199936
664.1499939,18.87325698,17.9008007
664.2999878,20.14178521,11.83399963
664.4000244,23.55637118,18.6201992
664.4499817,21.46478873,12.43099976
664.7000122,19.19101124,15.16699982
664.75,20.1307996,20.87574959
664.9499817,25.8,10.63899994
664.9500122,18.77774012,25.02961922
665.1000061,19.10981471,16.75780106
665.2000122,19.7010866,15.29699993
665.3500061,18.61594203,17.3694458
665.6500244,20.99721149,22.09600067
665.8999939,20,22.84199905
665.9500122,20.98325099,18.31987572
666,21.64262295,25.03000069
666.0500183,20.02967314,21.95700073
666.1000061,19.81139684,18.79683304
666.1500244,18,10.63899994
666.1499939,19.35810786,17.50799942
666.4499817,20.17912145,18.59300041
666.5500183,21.11986319,11.11600018
666.6000061,23.38973648,14.09766674
666.6499939,22.18181818,12.64000034
666.6499939,19.94282791,20.93642807
666.6999817,17.78825552,14.18000031
666.8500061,14.7058822,11.82600021
666.8500061,19.04076704,18.67099953
667.1499939,20.89195402,17.33200073
667.1999817,19.83850708,17.50799942
667.4500122,19.52191205,15.57199955
667.4500122,20.68621765,15.56725025
667.6000061,18.18181818,15.75199986
668,18.892243,20.46999931
668.1000061,24.88888889,9.708999634
668.3999939,18.58064516,11.11600018
668.6000061,18.04,16.32099915
668.6499939,17.73399015,21.96699905
668.7999878,21.45454545,8.934000015
668.8999939,19.92342479,19.99699974
668.9500122,20.33941998,18.82723045
669.0999756,22.54607509,18.1186657
669.3000183,21.10344248,23.66737556
669.3000183,18.19742549,22.13899994
669.3500061,20.10768082,20.54599953
669.3499756,19.15983562,9.484999657
669.7999878,19.54545483,11.83399963
669.8500061,20.88888889,18.79899979
669.9500122,18.39150185,10.55099964
670,19.17990309,15.51900005
670.6999817,19.39770645,21.63172722
671.25,21.67827286,21.09575081
671.2999878,19.28888889,15.16699982
671.6000061,20.34927392,19.11700058
671.6000061,20.96416182,17.62000084
671.6499939,19.46039027,15.16699982
671.6999817,19.28571516,10.64299965
671.75,20.91979334,20.73905563
671.8999939,20.90021413,21.56599998
671.8999939,20.59574468,17.65600014
671.9499817,19.375,17.70899963
672.0499878,19.95122325,27.81599998
672.0500183,18.84973409,18.59300041
672.2999878,18.11787125,14.26299953
672.3499756,19.18340856,22.75799942
672.4500122,22,12.64000034
672.5500183,21.5841576,11.23799992
672.6999817,20.38888889,16.95599937
673.0499878,16.29310291,17.70899963
673.25,18.27778212,25.62199974
673.2999878,19.37471645,18.72599983
673.5499878,18.90909091,13.44299984
673.5499878,16.40692614,15.18000031
673.8999939,15.59139753,19.11700058
674.25,18.7069414,13.71199989
675.3999939,18.32985328,17.50799942
675.7000122,17.90235065,11.83399963
676.1499939,18.91156487,13.27299976
676.5499878,20.32496619,16.3560009
676.6000061,20.02456918,18.62599945
676.8500061,24,23.7329998
676.9499817,17.60784314,12.93400002
677.25,19.34853372,13.90600014
677.9500122,19.67846513,15.42800045
678.0500183,18.72860566,15.38099957
678.3999939,15.88235324,22.52899933
678.7999878,20.05491279,23.80609894
679.3999939,17.98825272,24.60300064
679.5,16.96629286,36.17399979
679.6499939,19.23937432,33.45500183
679.75,19.19585816,20.4802227
679.8000183,19.59906189,20.13400078
680.0500183,20.54347826,19.3465004
680.4500122,18.58848436,36.17399979
681.2999878,15.60418615,22.86333466
681.2999878,15.29304019,17.70899963
681.6000061,17.65536742,14.17700005
681.8999939,17.57976113,41.0929985
682.1499939,22.33333333,21.95700073
682.4500122,18.75,16.06399918
682.5499878,18.10240992,25.73699951
682.6499939,20.25640976,20.47400093
683.3500061,18.80207497,35.81000137
683.3999939,18.77230519,13.56700039
684.3000183,20.40521029,20.0890007
684.3500061,18.65079309,18.28300095
684.8000183,20.7070715,25.23971558
684.9500122,22,25.06299973
686.0500183,17.6997755,30.62849998
686.6999817,21.48328885,27.47521591
687.5499878,16.70103126,30.84000015
689.0999756,19.5756727,34.15950012
691.0499878,17.25806452,43.22999954
691.3500061,17.37525596,27.94775009
691.8999939,17.34931144,49.93899918
693.9500122,16.26228433,55.32799911
694.25,17.70045427,35.48099899
694.8000183,20.12881556,34.30099869
695.1999817,18.26539414,38.62857056
695.2999878,14.54213616,35.34199905
696.5500183,19.15261161,31.05200005
698.1999817,17.36574158,40.26399994
698.25,15.13898503,35.81000137
698.4499817,17.84266029,43.22999954
699.1000061,15.40704188,50.67699814
700.3000183,18.86534023,40.40200043
704.3000183,16.47413373,28.71699905
706.75,17.86262508,41.73410797
645,21.88585649,23.7329998
672.2000122,20.2,9.951999664
655.75,19.03640226,12.50199986
